"cbo_familia";"mediana_rendimento_base";"mediana_salario_hora_base";"vinculos_base";"referencia";"mediana_rendimento_recente";"mediana_salario_hora_recente";"vinculos_recente";"nome_cbo_familia";"variacao_rendimento";"variacao_vinculos"
"1416";"4385,81237358213";"25,78816345820145";"474";"2021";"4173,77747803625";"23,89557358786278";"494";"Gerentes de operações de serviços em empresa de transporte, de comunicação e de logística (armazenagem e distribuição)";"-0,0483456375888449141";"0,042194092827004148"
"1417";"7588,22874789444";"44,78918728855083";"211";"2021";"8699,14346432526";"50,33594849208483";"292";"Gerentes de operações de serviços em instituição de intermediação financeira";"0,1463997400894210266";"0,383886255924170694"
"1421";"3551,05835524944";"20,67098920028778";"7292";"2021";"3379,30738415303";"19,55235781668939";"7589";"Gerentes administrativos, financeiros, de riscos e afins";"-0,0483661359274791813";"0,040729566648381788"
"1422";"5231,70696714697";"30,94186635412774";"715";"2021";"4945,03728840074";"28,40407858057437";"752";"Gerentes de recursos humanos e de relações do trabalho";"-0,0547946741945610771";"0,051748251748251706"
"1423";"4536,30877972609";"26,76441438674837";"9739";"2021";"4255,31726987433";"24,99422662254174";"10375";"Gerentes de comercialização, marketing e comunicação";"-0,0619427652516912897";"0,065304446041688058"
"1424";"3593,41575066336";"20,80727926305332";"380";"2021";"3609,13832725913";"20,64840098416635";"369";"Gerentes de suprimentos e afins";"0,0043753847833674087";"-0,028947368421052611"
"1425";"11207,24461206003";"67,26160539392066";"1052";"2021";"10149,80467639118";"61,78514983647706";"1239";"Gerentes de tecnologia da informação";"-0,0943532484809820327";"0,177756653992395375"
"1426";"15798,35689859221";"98,73973061620133";"197";"2021";"13252,06274643722";"82,55421806971724";"191";"Gerentes de pesquisa e desenvolvimento e afins";"-0,1611746188859608520";"-0,030456852791878153"
"1427";"7710,02076566681";"44,81035279902385";"210";"2021";"6258,32828159865";"43,47044426020563";"250";"Gerentes de manutenção e afins";"-0,1882864557943392247";"0,190476190476190466"
"2034";"39701,86523585087";"249,20465883274946";"434";"2021";"37650,82056412081";"235,64857187515295";"430";"Pesquisadores das ciências da agricultura";"-0,0516611665357716854";"-0,009216589861751112"
"2122";"11933,76097915281";"73,97635699786991";"155";"2021";"10311,56339257822";"64,61723382777581";"376";"Engenheiros em computação";"-0,1359334738988338120";"1,425806451612903203"
"2123";"9598,76603908830";"59,99532080810798";"1319";"2021";"9298,94939113260";"57,38363511038382";"1395";"Administradores de tecnologia da informação";"-0,0312349156896604141";"0,057619408642911374"
"2124";"8101,62939222586";"48,46836291833175";"12080";"2021";"7671,26023470547";"46,22705995031886";"12290";"Analistas de tecnologia da informação";"-0,0531213088978571557";"0,017384105960264851"
"2141";"12990,85070672806";"81,19281691705037";"392";"2021";"13514,36589589573";"83,81432565433339";"397";"Arquitetos e urbanistas";"0,0402987611039622440";"0,012755102040816313"
"2142";"13427,49742961627";"84,05643795426357";"1913";"2021";"14059,88416890042";"88,76447469991702";"1955";"Engenheiros civis e afins";"0,0470963962271429004";"0,021955044432828030"
"2143";"14188,64241805567";"86,71670195370304";"1007";"2021";"12999,09020492183";"79,25204934692854";"1037";"Engenheiros eletricistas, eletrônicos e afins";"-0,0838383390098043080";"0,029791459781529195"
"2144";"13897,62390203029";"82,43471807969313";"171";"2021";"11874,78893206656";"72,40995575331038";"187";"Engenheiros mecânicos e afins";"-0,1455525767730850850";"0,093567251461988299"
"2149";"10307,93328121017";"63,81233270383386";"360";"2021";"9880,08881858376";"61,75055511614850";"346";"Engenheiros de produção, qualidade, segurança e afins";"-0,0415063282769119191";"-0,038888888888888862"
"2153";"22278,27248237523";"159,13051773125164";"128";"2021";"22084,48174041424";"157,55692348694794";"167";"Profissionais da pilotagem aeronáutica";"-0,0086986431337664483";"0,304687500000000000"
"2211";"9671,72520209305";"59,66867302342465";"159";"2021";"9716,06877725536";"60,00205377546032";"191";"Biólogos e afins";"0,0045848671499379989";"0,201257861635220081"
"2212";"4868,74470513018";"32,68570953909209";"474";"2021";"5736,81809607612";"35,82467811208070";"490";"Biomédicos";"0,1782951137346033832";"0,033755274261603407"
"2221";"17180,60056099013";"105,92648958774139";"262";"2021";"15771,36915883704";"97,60609749855819";"262";"Engenheiros agrossilvipecuários";"-0,0820245716760830135";"0,000000000000000000"
"2232";"6016,75777327203";"72,83441177168068";"359";"2021";"7565,53800087667";"71,13950137336280";"361";"Cirurgiões-dentistas";"0,2574110984631474697";"0,005571030640668440"
"2233";"9587,74151151481";"68,29738349647083";"178";"2021";"5899,32178152702";"51,89910510630602";"189";"Veterinários e zootecnistas";"-0,3847016240016516431";"0,061797752808988804"
"2234";"6434,30885392638";"38,02525719243242";"3100";"2021";"6389,55382490729";"37,77620979438937";"3487";"Farmacêuticos";"-0,0069556855343955171";"0,124838709677419279"
"2235";"5198,93510833905";"32,81076452938671";"10840";"2021";"8961,89042526011";"61,21178794364372";"11914";"Enfermeiros e afins";"0,7237934766458844482";"0,099077490774907684"
"2236";"3297,16928761497";"27,85283495035321";"2256";"2021";"5978,74818538251";"49,66144750876801";"2394";"Fisioterapeutas";"0,8132973056131052036";"0,061170212765957466"
"2237";"3613,78211475964";"23,90707047289041";"1236";"2021";"4078,42669573199";"26,44323878509618";"1351";"Nutricionistas";"0,1285757044052568965";"0,093042071197410925"
"2238";"4025,28711239737";"37,35284013385336";"422";"2021";"6411,32172112791";"53,42768100939927";"427";"Fonoaudiólogos";"0,5927613464842929059";"0,011848341232227444"
"2239";"3040,12952604766";"33,29673110687584";"278";"2021";"6411,32172112791";"53,42768100939927";"274";"Terapeutas ocupacionais, ortoptistas e psicomotricistas";"1,1088975539351433319";"-0,014388489208633115"
"2241";"1818,88458290319";"15,81560402377892";"1435";"2021";"1588,15823421288";"13,44664237799380";"1608";"Profissionais da educação física";"-0,1268504614636046801";"0,120557491289198682"
"2251";"13944,89011340588";"154,95231388221654";"8566";"2021";"12851,93499969445";"133,87432291348384";"9343";"Médicos clínicos";"-0,0783767462362946477";"0,090707448050431960"
"2252";"14101,41519541765";"167,94392985878258";"281";"2021";"13489,39621688149";"160,15958594688183";"255";"Médicos em especialidades cirúrgicas";"-0,0434012451980735348";"-0,092526690391459110"
"2311";"3284,16034507826";"22,96747565895087";"1823";"2021";"3064,87752010407";"22,73627847922371";"1918";"Professores de nível superior na educação infantil";"-0,0667698290988769649";"0,052111903455841935"
"2312";"3735,66697065894";"32,33681196025626";"3617";"2021";"3615,82720022401";"34,37328904833448";"3712";"Professores de nível superior do ensino fundamental (primeira a quarta séries)";"-0,0320798859684742199";"0,026264860381531641"
